"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value"
"2011","Serbia","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Serbia","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000"
"2011","Serbia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Serbia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Turkey","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Turkey","Pure biodiesels","Production capacity","Thousand tonnes per year","561.217"
"2011","Turkey","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Turkey","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Bosnia and Herzegovina","Pure biogasoline","Production capacity","Thousand tonnes per year",":"
"2011","Bosnia and Herzegovina","Pure biodiesels","Production capacity","Thousand tonnes per year",":"
"2011","Bosnia and Herzegovina","Pure bio jet kerosene","Production capacity","Thousand tonnes per year",":"
"2011","Bosnia and Herzegovina","Other liquid biofuels","Production capacity","Thousand tonnes per year",":"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Moldova","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Moldova","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000"
"2011","Moldova","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Moldova","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Ukraine","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Ukraine","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000"
"2011","Ukraine","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Ukraine","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Georgia","Pure biogasoline","Production capacity","Thousand tonnes per year",":"
"2011","Georgia","Pure biodiesels","Production capacity","Thousand tonnes per year",":"
"2011","Georgia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year",":"
"2011","Georgia","Other liquid biofuels","Production capacity","Thousand tonnes per year",":"
"2012","European Union - 27 countries (from 2020)","Pure biogasoline","Production capacity","Thousand tonnes per year","4,495.140"
"2012","European Union - 27 countries (from 2020)","Pure biodiesels","Production capacity","Thousand tonnes per year","20,860.707"
"2012","European Union - 27 countries (from 2020)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2012","European Union - 27 countries (from 2020)","Other liquid biofuels","Production capacity","Thousand tonnes per year","2,788.391"
"2012","Euro area - 19 countries  (from 2015)","Pure biogasoline","Production capacity","Thousand tonnes per year","3,351.795"
"2012","Euro area - 19 countries  (from 2015)","Pure biodiesels","Production capacity","Thousand tonnes per year","18,743.165"
"2012","Euro area - 19 countries  (from 2015)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2012","Euro area - 19 countries  (from 2015)","Other liquid biofuels","Production capacity","Thousand tonnes per year","2,614.958"
"2012","Belgium","Pure biogasoline","Production capacity","Thousand tonnes per year","369.000"
"2012","Belgium","Pure biodiesels","Production capacity","Thousand tonnes per year","665.000"
"2012","Belgium","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2012","Belgium","Other liquid biofuels","Production capacity","Thousand tonnes per year","71.800"
