"TIME","GEO","NRG_BAL","SIEC","UNIT","Value"
"2012","Slovakia","Inland consumption - calculated","Biogases","Terajoule","2,594.000"
"2012","Slovakia","Inland consumption - calculated","Renewable municipal waste","Terajoule","775.000"
"2012","Finland","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Finland","Inland consumption - calculated","Solar thermal","Terajoule","47.000"
"2012","Finland","Inland consumption - calculated","Primary solid biofuels","Terajoule","332,358.000"
"2012","Finland","Inland consumption - calculated","Biogases","Terajoule","2,425.000"
"2012","Finland","Inland consumption - calculated","Renewable municipal waste","Terajoule","8,082.000"
"2012","Sweden","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Sweden","Inland consumption - calculated","Solar thermal","Terajoule","464.000"
"2012","Sweden","Inland consumption - calculated","Primary solid biofuels","Terajoule","394,455.000"
"2012","Sweden","Inland consumption - calculated","Biogases","Terajoule","5,303.000"
"2012","Sweden","Inland consumption - calculated","Renewable municipal waste","Terajoule","32,219.000"
"2012","Iceland","Inland consumption - calculated","Geothermal","Terajoule","167,814.000"
"2012","Iceland","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2012","Iceland","Inland consumption - calculated","Primary solid biofuels","Terajoule","0.000"
"2012","Iceland","Inland consumption - calculated","Biogases","Terajoule","73.000"
"2012","Iceland","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Liechtenstein","Inland consumption - calculated","Geothermal","Terajoule",":"
"2012","Liechtenstein","Inland consumption - calculated","Solar thermal","Terajoule",":"
"2012","Liechtenstein","Inland consumption - calculated","Primary solid biofuels","Terajoule",":"
"2012","Liechtenstein","Inland consumption - calculated","Biogases","Terajoule",":"
"2012","Liechtenstein","Inland consumption - calculated","Renewable municipal waste","Terajoule",":"
"2012","Norway","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Norway","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2012","Norway","Inland consumption - calculated","Primary solid biofuels","Terajoule","47,742.000"
"2012","Norway","Inland consumption - calculated","Biogases","Terajoule","800.000"
