TIME,GEO,NRG_BAL,SIEC,UNIT,Value
2012,Romania,Inland consumption - calculated,Geothermal,Terajoule,974
2012,Romania,Inland consumption - calculated,Solar thermal,Terajoule,4
2012,Romania,Inland consumption - calculated,Primary solid biofuels,Terajoule,153009
2012,Romania,Inland consumption - calculated,Biogases,Terajoule,1143
2012,Romania,Inland consumption - calculated,Renewable municipal waste,Terajoule,1
2012,Slovenia,Inland consumption - calculated,Geothermal,Terajoule,653
2012,Slovenia,Inland consumption - calculated,Solar thermal,Terajoule,410
2012,Slovenia,Inland consumption - calculated,Primary solid biofuels,Terajoule,26534
2012,Slovenia,Inland consumption - calculated,Biogases,Terajoule,1597
2012,Slovenia,Inland consumption - calculated,Renewable municipal waste,Terajoule,0
2012,Slovakia,Inland consumption - calculated,Geothermal,Terajoule,245
2012,Slovakia,Inland consumption - calculated,Solar thermal,Terajoule,224
2012,Slovakia,Inland consumption - calculated,Primary solid biofuels,Terajoule,32921
2012,Slovakia,Inland consumption - calculated,Biogases,Terajoule,2594
2012,Slovakia,Inland consumption - calculated,Renewable municipal waste,Terajoule,775
2012,Finland,Inland consumption - calculated,Geothermal,Terajoule,0
2012,Finland,Inland consumption - calculated,Solar thermal,Terajoule,47
2012,Finland,Inland consumption - calculated,Primary solid biofuels,Terajoule,332358
2012,Finland,Inland consumption - calculated,Biogases,Terajoule,2425
2012,Finland,Inland consumption - calculated,Renewable municipal waste,Terajoule,8082
2012,Sweden,Inland consumption - calculated,Geothermal,Terajoule,0
2012,Sweden,Inland consumption - calculated,Solar thermal,Terajoule,464
2012,Sweden,Inland consumption - calculated,Primary solid biofuels,Terajoule,394455
2012,Sweden,Inland consumption - calculated,Biogases,Terajoule,5303
2012,Sweden,Inland consumption - calculated,Renewable municipal waste,Terajoule,32219
2013,European Union - 27 countries (from 2020),Inland consumption - calculated,Geothermal,Terajoule,249112.4
2013,European Union - 27 countries (from 2020),Inland consumption - calculated,Solar thermal,Terajoule,156213.4
2013,European Union - 27 countries (from 2020),Inland consumption - calculated,Primary solid biofuels,Terajoule,3896676
2013,European Union - 27 countries (from 2020),Inland consumption - calculated,Biogases,Terajoule,497823
2013,European Union - 27 countries (from 2020),Inland consumption - calculated,Renewable municipal waste,Terajoule,360060.8
2013,Euro area - 19 countries  (from 2015),Inland consumption - calculated,Geothermal,Terajoule,240608.4
2013,Euro area - 19 countries  (from 2015),Inland consumption - calculated,Solar thermal,Terajoule,151590.9
2013,Euro area - 19 countries  (from 2015),Inland consumption - calculated,Primary solid biofuels,Terajoule,2656898.1
2013,Euro area - 19 countries  (from 2015),Inland consumption - calculated,Biogases,Terajoule,450718.1
