TIME,GEO,SIEC,PLANT_TEC,UNIT,Value
2011,Sweden,Solar,Net maximum electrical capacity,Megawatt,12.00
2011,Sweden,Solid Biofuels,Net maximum electrical capacity,Megawatt,3397.00
2011,United Kingdom,Hydro,Net maximum electrical capacity,Megawatt,4423.00
2011,United Kingdom,Wind,Net maximum electrical capacity,Megawatt,6596.29
2011,United Kingdom,Solar,Net maximum electrical capacity,Megawatt,1000.00
2011,United Kingdom,Solid Biofuels,Net maximum electrical capacity,Megawatt,1627.00
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17
2012,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,97148.14
2012,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,71132.43
2012,European Union - 27 countries (from 2020),Solid Biofuels,Net maximum electrical capacity,Megawatt,13455.02
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91
2012,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,83554.20
2012,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,67613.13
2012,Euro area - 19 countries  (from 2015),Solid Biofuels,Net maximum electrical capacity,Megawatt,7681.47
2012,Belgium,Hydro,Net maximum electrical capacity,Megawatt,1427.00
2012,Belgium,Wind,Net maximum electrical capacity,Megawatt,1370.00
2012,Belgium,Solar,Net maximum electrical capacity,Megawatt,2646.60
2012,Belgium,Solid Biofuels,Net maximum electrical capacity,Megawatt,678.00
2012,Bulgaria,Hydro,Net maximum electrical capacity,Megawatt,3181.00
2012,Bulgaria,Wind,Net maximum electrical capacity,Megawatt,677.00
2012,Bulgaria,Solar,Net maximum electrical capacity,Megawatt,1013.00
2012,Bulgaria,Solid Biofuels,Net maximum electrical capacity,Megawatt,14.00
2012,Czechia,Hydro,Net maximum electrical capacity,Megawatt,2212.00
2012,Czechia,Wind,Net maximum electrical capacity,Megawatt,258.00
2012,Czechia,Solar,Net maximum electrical capacity,Megawatt,2022.00
2012,Czechia,Solid Biofuels,Net maximum electrical capacity,Megawatt,330.00
2012,Denmark,Hydro,Net maximum electrical capacity,Megawatt,9.26
2012,Denmark,Wind,Net maximum electrical capacity,Megawatt,4161.94
2012,Denmark,Solar,Net maximum electrical capacity,Megawatt,402.00
2012,Denmark,Solid Biofuels,Net maximum electrical capacity,Megawatt,1155.55
2012,Germany,Hydro,Net maximum electrical capacity,Megawatt,11257.00
2012,Germany,Wind,Net maximum electrical capacity,Megawatt,30979.00
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077.00
2012,Germany,Solid Biofuels,Net maximum electrical capacity,Megawatt,1558.00
2012,Estonia,Hydro,Net maximum electrical capacity,Megawatt,8.00
2012,Estonia,Wind,Net maximum electrical capacity,Megawatt,266.00
2012,Estonia,Solar,Net maximum electrical capacity,Megawatt,0.00
2012,Estonia,Solid Biofuels,Net maximum electrical capacity,Megawatt,163.00
2012,Ireland,Hydro,Net maximum electrical capacity,Megawatt,529.00
2012,Ireland,Wind,Net maximum electrical capacity,Megawatt,1704.35
2012,Ireland,Solar,Net maximum electrical capacity,Megawatt,0.94
2012,Ireland,Solid Biofuels,Net maximum electrical capacity,Megawatt,5.45
2012,Greece,Hydro,Net maximum electrical capacity,Megawatt,3236.00
2012,Greece,Wind,Net maximum electrical capacity,Megawatt,1753.00
2012,Greece,Solar,Net maximum electrical capacity,Megawatt,1536.00
2012,Greece,Solid Biofuels,Net maximum electrical capacity,Megawatt,0.00
2012,Spain,Hydro,Net maximum electrical capacity,Megawatt,18550.00
2012,Spain,Wind,Net maximum electrical capacity,Megawatt,22789.00
2012,Spain,Solar,Net maximum electrical capacity,Megawatt,6569.00
2012,Spain,Solid Biofuels,Net maximum electrical capacity,Megawatt,635.86
2012,France,Hydro,Net maximum electrical capacity,Megawatt,25656.72
2012,France,Wind,Net maximum electrical capacity,Megawatt,7607.50
2012,France,Solar,Net maximum electrical capacity,Megawatt,4358.75
2012,France,Solid Biofuels,Net maximum electrical capacity,Megawatt,359.53
2012,Croatia,Hydro,Net maximum electrical capacity,Megawatt,2129.00
2012,Croatia,Wind,Net maximum electrical capacity,Megawatt,180.00
2012,Croatia,Solar,Net maximum electrical capacity,Megawatt,4.00
2012,Croatia,Solid Biofuels,Net maximum electrical capacity,Megawatt,7.00
2012,Italy,Hydro,Net maximum electrical capacity,Megawatt,21880.00
2012,Italy,Wind,Net maximum electrical capacity,Megawatt,8102.00
2012,Italy,Solar,Net maximum electrical capacity,Megawatt,16785.00
2012,Italy,Solid Biofuels,Net maximum electrical capacity,Megawatt,538.00
2012,Cyprus,Hydro,Net maximum electrical capacity,Megawatt,0.00
2012,Cyprus,Wind,Net maximum electrical capacity,Megawatt,147.23
2012,Cyprus,Solar,Net maximum electrical capacity,Megawatt,17.00
2012,Cyprus,Solid Biofuels,Net maximum electrical capacity,Megawatt,0.00
2012,Latvia,Hydro,Net maximum electrical capacity,Megawatt,1576.00
2012,Latvia,Wind,Net maximum electrical capacity,Megawatt,59.00
2012,Latvia,Solar,Net maximum electrical capacity,Megawatt,0.00
2012,Latvia,Solid Biofuels,Net maximum electrical capacity,Megawatt,23.00
2012,Lithuania,Hydro,Net maximum electrical capacity,Megawatt,876.00
