TIME,GEO,SIEC,PLANT_TEC,UNIT,Value
2011,United Kingdom,Pure biogasoline,Production capacity,Thousand tonnes per year,374.77
2011,United Kingdom,Pure biodiesels,Production capacity,Thousand tonnes per year,504.63
2011,United Kingdom,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,United Kingdom,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,European Union - 27 countries (from 2020),Pure biogasoline,Production capacity,Thousand tonnes per year,4495.14
2012,European Union - 27 countries (from 2020),Pure biodiesels,Production capacity,Thousand tonnes per year,20860.71
2012,European Union - 27 countries (from 2020),Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,European Union - 27 countries (from 2020),Other liquid biofuels,Production capacity,Thousand tonnes per year,2788.39
2012,Euro area - 19 countries  (from 2015),Pure biogasoline,Production capacity,Thousand tonnes per year,3351.80
2012,Euro area - 19 countries  (from 2015),Pure biodiesels,Production capacity,Thousand tonnes per year,18743.17
2012,Euro area - 19 countries  (from 2015),Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Euro area - 19 countries  (from 2015),Other liquid biofuels,Production capacity,Thousand tonnes per year,2614.96
2012,Belgium,Pure biogasoline,Production capacity,Thousand tonnes per year,369.00
2012,Belgium,Pure biodiesels,Production capacity,Thousand tonnes per year,665.00
2012,Belgium,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Belgium,Other liquid biofuels,Production capacity,Thousand tonnes per year,71.80
2012,Bulgaria,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Bulgaria,Pure biodiesels,Production capacity,Thousand tonnes per year,63.74
2012,Bulgaria,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Bulgaria,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Czechia,Pure biogasoline,Production capacity,Thousand tonnes per year,160.00
2012,Czechia,Pure biodiesels,Production capacity,Thousand tonnes per year,420.00
2012,Czechia,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Czechia,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Denmark,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Denmark,Pure biodiesels,Production capacity,Thousand tonnes per year,0.00
2012,Denmark,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Denmark,Other liquid biofuels,Production capacity,Thousand tonnes per year,50.54
2012,Germany,Pure biogasoline,Production capacity,Thousand tonnes per year,701.00
2012,Germany,Pure biodiesels,Production capacity,Thousand tonnes per year,4296.00
2012,Germany,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Germany,Other liquid biofuels,Production capacity,Thousand tonnes per year,1865.00
2012,Estonia,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Estonia,Pure biodiesels,Production capacity,Thousand tonnes per year,0.00
2012,Estonia,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Estonia,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Ireland,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Ireland,Pure biodiesels,Production capacity,Thousand tonnes per year,29.92
2012,Ireland,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Ireland,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Greece,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Greece,Pure biodiesels,Production capacity,Thousand tonnes per year,746.81
2012,Greece,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Greece,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Spain,Pure biogasoline,Production capacity,Thousand tonnes per year,464.00
2012,Spain,Pure biodiesels,Production capacity,Thousand tonnes per year,3762.00
2012,Spain,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Spain,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,France,Pure biogasoline,Production capacity,Thousand tonnes per year,1091.80
2012,France,Pure biodiesels,Production capacity,Thousand tonnes per year,2759.96
2012,France,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,France,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Croatia,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Croatia,Pure biodiesels,Production capacity,Thousand tonnes per year,69.00
2012,Croatia,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Croatia,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Italy,Pure biogasoline,Production capacity,Thousand tonnes per year,332.00
2012,Italy,Pure biodiesels,Production capacity,Thousand tonnes per year,2212.19
2012,Italy,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Italy,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
