TIME,GEO,SIEC,PLANT_TEC,UNIT,Value,rank
2011,Italy,Solar,Net maximum electrical capacity,Megawatt,13131,3
2011,Italy,Solid Biofuels,Net maximum electrical capacity,Megawatt,421,0
2011,Cyprus,Hydro,Net maximum electrical capacity,Megawatt,0,0
2011,Cyprus,Wind,Net maximum electrical capacity,Megawatt,134.23,0
2011,Cyprus,Solar,Net maximum electrical capacity,Megawatt,10,0
2011,Cyprus,Solid Biofuels,Net maximum electrical capacity,Megawatt,0,0
2011,Latvia,Hydro,Net maximum electrical capacity,Megawatt,1576,0
2011,Latvia,Wind,Net maximum electrical capacity,Megawatt,36,0
2011,Latvia,Solar,Net maximum electrical capacity,Megawatt,0,0
2011,Latvia,Solid Biofuels,Net maximum electrical capacity,Megawatt,5,0
2011,Lithuania,Hydro,Net maximum electrical capacity,Megawatt,876,0
2011,Lithuania,Wind,Net maximum electrical capacity,Megawatt,202,0
2011,Lithuania,Solar,Net maximum electrical capacity,Megawatt,0,0
2011,Lithuania,Solid Biofuels,Net maximum electrical capacity,Megawatt,18,0
2011,Luxembourg,Hydro,Net maximum electrical capacity,Megawatt,1134.31,0
2011,Luxembourg,Wind,Net maximum electrical capacity,Megawatt,44.53,0
2011,Luxembourg,Solar,Net maximum electrical capacity,Megawatt,40.67,0
2011,Luxembourg,Solid Biofuels,Net maximum electrical capacity,Megawatt,0,0
2011,Hungary,Hydro,Net maximum electrical capacity,Megawatt,55,0
2011,Hungary,Wind,Net maximum electrical capacity,Megawatt,331,0
2011,Hungary,Solar,Net maximum electrical capacity,Megawatt,4,0
2011,Hungary,Solid Biofuels,Net maximum electrical capacity,Megawatt,436,0
2011,Malta,Hydro,Net maximum electrical capacity,Megawatt,0,0
2011,Malta,Wind,Net maximum electrical capacity,Megawatt,0,0
2011,Malta,Solar,Net maximum electrical capacity,Megawatt,5.3,0
2011,Malta,Solid Biofuels,Net maximum electrical capacity,Megawatt,0,0
2011,Netherlands,Hydro,Net maximum electrical capacity,Megawatt,37,0
2011,Netherlands,Wind,Net maximum electrical capacity,Megawatt,2316,0
2011,Netherlands,Solar,Net maximum electrical capacity,Megawatt,149,0
2011,Netherlands,Solid Biofuels,Net maximum electrical capacity,Megawatt,132.58,0
2011,Austria,Hydro,Net maximum electrical capacity,Megawatt,13177.39,0
2011,Austria,Hydro,Net maximum electrical capacity,Megawatt,13177.39,1
2011,Austria,Hydro,Net maximum electrical capacity,Megawatt,13177.39,2
2011,Austria,Hydro,Net maximum electrical capacity,Megawatt,13177.39,3
2011,Austria,Wind,Net maximum electrical capacity,Megawatt,1105.97,0
2011,Austria,Solar,Net maximum electrical capacity,Megawatt,174.07,0
2011,Austria,Solid Biofuels,Net maximum electrical capacity,Megawatt,1627.97,0
2011,Poland,Hydro,Net maximum electrical capacity,Megawatt,2346,0
2011,Poland,Wind,Net maximum electrical capacity,Megawatt,1800,0
2011,Poland,Solar,Net maximum electrical capacity,Megawatt,1.11,0
2011,Poland,Solid Biofuels,Net maximum electrical capacity,Megawatt,175,0
2011,Portugal,Hydro,Net maximum electrical capacity,Megawatt,5535,0
2011,Portugal,Wind,Net maximum electrical capacity,Megawatt,4256.22,0
2011,Portugal,Solar,Net maximum electrical capacity,Megawatt,172,0
2011,Portugal,Solid Biofuels,Net maximum electrical capacity,Megawatt,478,0
2011,Romania,Hydro,Net maximum electrical capacity,Megawatt,6483,0
2011,Romania,Hydro,Net maximum electrical capacity,Megawatt,6483,1
2011,Romania,Wind,Net maximum electrical capacity,Megawatt,988,0
2011,Romania,Solar,Net maximum electrical capacity,Megawatt,1,0
