"TIME","GEO","PLANT_TEC","UNIT","Value"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Moldova","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Moldova","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Moldova","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Ukraine","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Ukraine","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Ukraine","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Georgia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Georgia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Georgia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2013","European Union - 27 countries (from 2020)","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","2,049.600"
"2013","European Union - 27 countries (from 2020)","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","132.000"
"2013","European Union - 27 countries (from 2020)","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","1,172.000"
"2013","Euro area - 19 countries  (from 2015)","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","1,289.200"
"2013","Euro area - 19 countries  (from 2015)","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","132.000"
"2013","Euro area - 19 countries  (from 2015)","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","1,172.000"
"2013","Belgium","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Belgium","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","8.000"
"2013","Belgium","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2013","Bulgaria","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Bulgaria","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Bulgaria","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Czechia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Czechia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Czechia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2013","Denmark","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Denmark","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Denmark","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
