"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value"
"2011","United Kingdom","Solar","Net maximum electrical capacity","Megawatt","1,000.000"
"2011","United Kingdom","Solid biofuels","Net maximum electrical capacity","Megawatt","1,627.000"
"2011","Montenegro","Hydro","Net maximum electrical capacity","Megawatt","629.000"
"2011","Montenegro","Wind","Net maximum electrical capacity","Megawatt","0.000"
"2011","Montenegro","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2011","Montenegro","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2011","North Macedonia","Hydro","Net maximum electrical capacity","Megawatt","556.000"
"2011","North Macedonia","Wind","Net maximum electrical capacity","Megawatt","0.000"
"2011","North Macedonia","Solar","Net maximum electrical capacity","Megawatt","2.000"
"2011","North Macedonia","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2011","Albania","Hydro","Net maximum electrical capacity","Megawatt","1,508.000"
"2011","Albania","Wind","Net maximum electrical capacity","Megawatt","0.000"
"2011","Albania","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2011","Albania","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2011","Serbia","Hydro","Net maximum electrical capacity","Megawatt","2,935.997"
"2011","Serbia","Wind","Net maximum electrical capacity","Megawatt","0.000"
"2011","Serbia","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2011","Serbia","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2011","Bosnia and Herzegovina","Hydro","Net maximum electrical capacity","Megawatt",":"
"2011","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":"
"2011","Bosnia and Herzegovina","Solar","Net maximum electrical capacity","Megawatt",":"
"2011","Bosnia and Herzegovina","Solid biofuels","Net maximum electrical capacity","Megawatt",":"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Hydro","Net maximum electrical capacity","Megawatt","43.000"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt","1.000"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2011","Moldova","Hydro","Net maximum electrical capacity","Megawatt","16.000"
"2011","Moldova","Wind","Net maximum electrical capacity","Megawatt","0.000"
"2011","Moldova","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2011","Moldova","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2012","European Union - 27 countries (from 2020)","Hydro","Net maximum electrical capacity","Megawatt","144,944.169"
"2012","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","97,148.141"
"2012","European Union - 27 countries (from 2020)","Solar","Net maximum electrical capacity","Megawatt","71,132.431"
"2012","European Union - 27 countries (from 2020)","Solid biofuels","Net maximum electrical capacity","Megawatt","13,455.021"
"2012","Euro area - 19 countries  (from 2015)","Hydro","Net maximum electrical capacity","Megawatt","112,043.914"
"2012","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","83,554.200"
"2012","Euro area - 19 countries  (from 2015)","Solar","Net maximum electrical capacity","Megawatt","67,613.131"
"2012","Euro area - 19 countries  (from 2015)","Solid biofuels","Net maximum electrical capacity","Megawatt","7,681.471"
"2012","Belgium","Hydro","Net maximum electrical capacity","Megawatt","1,427.000"
"2012","Belgium","Wind","Net maximum electrical capacity","Megawatt","1,370.000"
"2012","Belgium","Solar","Net maximum electrical capacity","Megawatt","2,646.600"
"2012","Belgium","Solid biofuels","Net maximum electrical capacity","Megawatt","678.000"
"2012","Bulgaria","Hydro","Net maximum electrical capacity","Megawatt","3,181.000"
"2012","Bulgaria","Wind","Net maximum electrical capacity","Megawatt","677.000"
"2012","Bulgaria","Solar","Net maximum electrical capacity","Megawatt","1,013.000"
"2012","Bulgaria","Solid biofuels","Net maximum electrical capacity","Megawatt","14.000"
"2012","Czechia","Hydro","Net maximum electrical capacity","Megawatt","2,212.000"
"2012","Czechia","Wind","Net maximum electrical capacity","Megawatt","258.000"
"2012","Czechia","Solar","Net maximum electrical capacity","Megawatt","2,022.000"
"2012","Czechia","Solid biofuels","Net maximum electrical capacity","Megawatt","330.000"
"2012","Denmark","Hydro","Net maximum electrical capacity","Megawatt","9.255"
"2012","Denmark","Wind","Net maximum electrical capacity","Megawatt","4,161.941"
"2012","Denmark","Solar","Net maximum electrical capacity","Megawatt","402.000"
"2012","Denmark","Solid biofuels","Net maximum electrical capacity","Megawatt","1,155.550"
"2012","Germany (until 1990 former territory of the FRG)","Hydro","Net maximum electrical capacity","Megawatt","11,257.000"
"2012","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","30,979.000"
"2012","Germany (until 1990 former territory of the FRG)","Solar","Net maximum electrical capacity","Megawatt","34,077.000"
"2012","Germany (until 1990 former territory of the FRG)","Solid biofuels","Net maximum electrical capacity","Megawatt","1,558.000"
"2012","Estonia","Hydro","Net maximum electrical capacity","Megawatt","8.000"
"2012","Estonia","Wind","Net maximum electrical capacity","Megawatt","266.000"
"2012","Estonia","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2012","Estonia","Solid biofuels","Net maximum electrical capacity","Megawatt","163.000"
"2012","Ireland","Hydro","Net maximum electrical capacity","Megawatt","529.000"
"2012","Ireland","Wind","Net maximum electrical capacity","Megawatt","1,704.350"
"2012","Ireland","Solar","Net maximum electrical capacity","Megawatt","0.940"
"2012","Ireland","Solid biofuels","Net maximum electrical capacity","Megawatt","5.450"
"2012","Greece","Hydro","Net maximum electrical capacity","Megawatt","3,236.000"
"2012","Greece","Wind","Net maximum electrical capacity","Megawatt","1,753.000"
"2012","Greece","Solar","Net maximum electrical capacity","Megawatt","1,536.000"
"2012","Greece","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2012","Spain","Hydro","Net maximum electrical capacity","Megawatt","18,550.000"
"2012","Spain","Wind","Net maximum electrical capacity","Megawatt","22,789.000"
"2012","Spain","Solar","Net maximum electrical capacity","Megawatt","6,569.000"
"2012","Spain","Solid biofuels","Net maximum electrical capacity","Megawatt","635.857"
"2012","France","Hydro","Net maximum electrical capacity","Megawatt","25,656.717"
"2012","France","Wind","Net maximum electrical capacity","Megawatt","7,607.496"
"2012","France","Solar","Net maximum electrical capacity","Megawatt","4,358.754"
"2012","France","Solid biofuels","Net maximum electrical capacity","Megawatt","359.529"
"2012","Croatia","Hydro","Net maximum electrical capacity","Megawatt","2,129.000"
"2012","Croatia","Wind","Net maximum electrical capacity","Megawatt","180.000"
"2012","Croatia","Solar","Net maximum electrical capacity","Megawatt","4.000"
"2012","Croatia","Solid biofuels","Net maximum electrical capacity","Megawatt","7.000"
"2012","Italy","Hydro","Net maximum electrical capacity","Megawatt","21,880.000"
"2012","Italy","Wind","Net maximum electrical capacity","Megawatt","8,102.000"
"2012","Italy","Solar","Net maximum electrical capacity","Megawatt","16,785.000"
"2012","Italy","Solid biofuels","Net maximum electrical capacity","Megawatt","538.000"
"2012","Cyprus","Hydro","Net maximum electrical capacity","Megawatt","0.000"
"2012","Cyprus","Wind","Net maximum electrical capacity","Megawatt","147.225"
"2012","Cyprus","Solar","Net maximum electrical capacity","Megawatt","17.000"
"2012","Cyprus","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2012","Latvia","Hydro","Net maximum electrical capacity","Megawatt","1,576.000"
"2012","Latvia","Wind","Net maximum electrical capacity","Megawatt","59.000"
"2012","Latvia","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2012","Latvia","Solid biofuels","Net maximum electrical capacity","Megawatt","23.000"
"2012","Lithuania","Hydro","Net maximum electrical capacity","Megawatt","876.000"
"2012","Lithuania","Wind","Net maximum electrical capacity","Megawatt","275.000"
"2012","Lithuania","Solar","Net maximum electrical capacity","Megawatt","7.000"
"2012","Lithuania","Solid biofuels","Net maximum electrical capacity","Megawatt","38.000"
"2012","Luxembourg","Hydro","Net maximum electrical capacity","Megawatt","1,134.308"
"2012","Luxembourg","Wind","Net maximum electrical capacity","Megawatt","58.327"
