Continent,Year,Source,Value
Asia,2001,Nuclear,378.77988
Asia,2001,Renewables,510.669
Asia,2002,Fossil,9528.807
Asia,2002,Nuclear,380.96222
Asia,2002,Renewables,521.9941
Asia,2003,Fossil,10240.069
Asia,2003,Nuclear,332.54196
Asia,2003,Renewables,534.11694
Asia,2004,Fossil,11034.729
Asia,2004,Nuclear,374.48102
Asia,2004,Renewables,615.6142
Asia,2005,Fossil,11760.506
Asia,2005,Nuclear,383.8191
Asia,2005,Renewables,632.00275
Asia,2006,Fossil,12277.209
Asia,2006,Nuclear,386.82913
Asia,2006,Renewables,686.8414
Asia,2007,Fossil,12919.018
Asia,2007,Nuclear,364.43658
Asia,2007,Renewables,715.27924
Asia,2008,Fossil,13139.845
Asia,2008,Nuclear,347.53857
Asia,2008,Renewables,804.42926
Asia,2009,Fossil,13278.283
Asia,2009,Nuclear,357.13547
Asia,2009,Renewables,791.18976
Asia,2010,Fossil,13913.51
Asia,2010,Nuclear,369.49133
Asia,2010,Renewables,907.5819
Asia,2011,Fossil,14559.163
Asia,2011,Nuclear,301.2717
Asia,2011,Renewables,931.39746
Asia,2012,Fossil,14903.371
Asia,2012,Nuclear,211.28625
Asia,2012,Renewables,1049.5631
Asia,2013,Fossil,15042.6875
Asia,2013,Nuclear,210.11676
Asia,2013,Renewables,1148.1871
Asia,2014,Fossil,15192.178
Asia,2014,Nuclear,222.64307
Asia,2014,Renewables,1261.7352
Asia,2015,Fossil,15245.994
Asia,2015,Nuclear,246.94363
Asia,2015,Renewables,1332.2017
Asia,2016,Fossil,15270.59
Asia,2016,Nuclear,271.86856
Asia,2016,Renewables,1428.1138
Asia,2017,Fossil,15550.419
Asia,2017,Nuclear,282.58417
Asia,2017,Renewables,1543.2957
Asia,2018,Fossil,15864.545
Asia,2018,Nuclear,311.2401
Asia,2018,Renewables,1675.1049
Asia,2019,Fossil,16029.353
Asia,2019,Nuclear,358.30142
Asia,2019,Renewables,1826.4906
Asia,2020,Fossil,15667.932
Asia,2020,Nuclear,359.77908
Asia,2020,Renewables,1936.9718
Asia,2021,Fossil,16303.895
Asia,2021,Nuclear,390.67166
Asia,2021,Renewables,2118.0044
Asia,2022,Fossil,16428.768
Asia,2022,Nuclear,406.62253
Asia,2022,Renewables,2304.2197
Europe,1965,Fossil,28415.236
Europe,1965,Nuclear,96.258606
Europe,1965,Renewables,1789.7991
Europe,1966,Fossil,29263.027
Europe,1966,Nuclear,123.51952
Europe,1966,Renewables,1931.783
Europe,1967,Fossil,30196.041
Europe,1967,Nuclear,141.39503
Europe,1967,Renewables,1903.3108
Europe,1968,Fossil,31613.826
Europe,1968,Nuclear,161.46959
Europe,1968,Renewables,2013.0061
Europe,1969,Fossil,33431.824
Europe,1969,Nuclear,194.2802
Europe,1969,Renewables,2027.703
Europe,1970,Fossil,35240.676
Europe,1970,Nuclear,211.36403
Europe,1970,Renewables,2135.5222
Europe,1971,Fossil,36257.152
Europe,1971,Nuclear,241.44193
Europe,1971,Renewables,2148.5168
Europe,1972,Fossil,37753.14
Europe,1972,Nuclear,329.80945
Europe,1972,Renewables,2180.549
Europe,1973,Fossil,39627.043
Europe,1973,Nuclear,375.84915
Europe,1973,Renewables,2194.089
Europe,1974,Fossil,39601.98
Europe,1974,Nuclear,458.50873
Europe,1974,Renewables,2353.6228
Europe,1975,Fossil,39710.418
Europe,1975,Nuclear,608.51227
Europe,1975,Renewables,2340.808
Europe,1976,Fossil,41563.816
Europe,1976,Nuclear,726.0414
Europe,1976,Renewables,2226.9429
Europe,1977,Fossil,42013.24
Europe,1977,Nuclear,880.77466
Europe,1977,Renewables,2608.1897
Europe,1978,Fossil,43441.64
Europe,1978,Nuclear,965.3782
Europe,1978,Renewables,2689.38
Europe,1979,Fossil,44629.074
Europe,1979,Nuclear,1076.0988
Europe,1979,Renewables,2785.8418
Europe,1980,Fossil,43908.4
Europe,1980,Nuclear,1269.0017
Europe,1980,Renewables,2762.613
Europe,1981,Fossil,42969.19
Europe,1981,Nuclear,1655.919
Europe,1981,Renewables,2781.436
Europe,1982,Fossil,42616.176
Europe,1982,Nuclear,1835.1294
Europe,1982,Renewables,2691.6426
Europe,1983,Fossil,42714.715
Europe,1983,Nuclear,2128.5898
Europe,1983,Renewables,2776.2576
Europe,1984,Fossil,43317.75
Europe,1984,Nuclear,2703.7373
Europe,1984,Renewables,2874.1567
Europe,1985,Fossil,41215.234
Europe,1985,Nuclear,3184.4304
Europe,1985,Renewables,2765.2075
Europe,1986,Fossil,41726.46
Europe,1986,Nuclear,3367.93
Europe,1986,Renewables,2708.2734
Europe,1987,Fossil,42273.465
Europe,1987,Nuclear,3550.2896
Europe,1987,Renewables,2840.1582
Europe,1988,Fossil,42203.336
Europe,1988,Nuclear,3881.3132
Europe,1988,Renewables,2939.658
Europe,1989,Fossil,42044.668
Europe,1989,Nuclear,4032.917
Europe,1989,Renewables,2670.805
Europe,1990,Fossil,41945.766
Europe,1990,Nuclear,3979.0815
Europe,1990,Renewables,2731.2026
Europe,1991,Fossil,41041.242
Europe,1991,Nuclear,4065.5554
Europe,1991,Renewables,2775.2021
Europe,1992,Fossil,39089.668
Europe,1992,Nuclear,4079.921
Europe,1992,Renewables,2847.5388
Europe,1993,Fossil,37203.19
Europe,1993,Nuclear,4213.7915
Europe,1993,Renewables,2917.0708
Europe,1994,Fossil,35438.992
Europe,1994,Nuclear,4093.409
Europe,1994,Renewables,2971.8167
Europe,1995,Fossil,35201.44
Europe,1995,Nuclear,4195.335
